;;;;;
г. Магнитогорск, пр-кт Ленина, д. 114, д. 112;Продажа имущественного комплекса;Объявлен 04.12.2020;251 667 000 руб.;/land/auctions/?id=256771;6.17 га / 35111.9 м²
г. Москва, Староконюшенный пер., вл. 35, стр. 1;Продажа имущественного комплекса;Объявлен 27.11.2020;198 826 000 руб.;/land/auctions/?id=257122;0.10 га / 1659.8 м²
г. Москва, б-р Цветной;Продажа здания и аренда земельного участка;Объявлен 30.11.2020;197 733 000 руб.;/land/auctions/?id=257752;0.06 га / 1587.2 м²
г. Красноярск, ул. Калинина, 77;Продажа имущественного комплекса;Объявлен 20.11.2020;100 110 000 руб.;/land/auctions/?id=256491;6.78 га / 16597.9 м²
г. Москва, п. Щаповское, вблизи дер. Кузенево;Продажа имущественного комплекса;Объявлен 18.12.2020;98 596 360 руб.;/land/auctions/?id=256799;20.83 га / 10352 м²
г. Краснодар, в районе п. Знаменский и п. Зеленопольский;Продажа земельного участка;Объявлен 13.11.2020;72 307 000 руб.;/land/auctions/?id=253305;13.00 га
г. Москва, Покровский бульвар;Продажа здания и аренда земельного участка;Объявлен 08.12.2020;61 938 000 руб.;/land/auctions/?id=257713;0.09 га / 844.4 м²
г. Подольск, ул. Б.Серпуховская, д.43.;Продажа помещения;Объявлен 20.11.2020;59 470 000 руб.;/land/auctions/?id=257221;8015.4 м²
г. Тамбов, Коммунальная;Продажа имущественного комплекса;Объявлен 20.11.2020;49 742 001 руб.;/land/auctions/?id=255969;0.59 га / 6925.9 м²
г. Москва, пер Большой Трёхсвятительский;Продажа здания;Объявлен 08.12.2020;46 957 000 руб.;/land/auctions/?id=261736;439.6 м²
Хабаровский край, г. Хабаровск, ул. Запарина, д. 67А;Продажа помещения;Объявлен 20.11.2020;44 575 000 руб.;/land/auctions/?id=253041;1224.6 м²
г. Москва, ш. Ленинградское, д. 53А;Продажа помещения;Объявлен 27.11.2020;42 435 000 руб.;/land/auctions/?id=257056;1294.9 м²
г. Краснодар, в районе п. Знаменский и п. Зеленопольский;Продажа земельного участка;Объявлен 13.11.2020;41 211 000 руб.;/land/auctions/?id=253327;6.52 га
Нижегородская область, Кстовский район;Продажа земельного участка;Объявлен 27.11.2020;39 835 000 руб.;/land/auctions/?id=255933;18.76 га
